City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Thompson,CA,2022-07-05 02:20:31,55.7435,-97.8558,62.76,51,20,10.36
1,New Norfolk,AU,2022-07-05 02:20:31,-42.7826,147.0587,56.91,62,33,2.42
2,Alofi,NU,2022-07-05 02:20:31,-19.0595,-169.9187,76.89,73,75,20.71
3,Hermanus,ZA,2022-07-05 02:20:32,-34.4187,19.2345,50.9,75,0,7.36
4,Kutum,SD,2022-07-05 02:20:32,14.2,24.6667,75.76,60,93,9.42
5,Camacha,PT,2022-07-05 02:20:32,33.0833,-16.3333,63.82,72,75,11.5
6,Vaini,TO,2022-07-05 02:20:32,-21.2,-175.2,77.16,83,40,11.5
7,Barrow,US,2022-07-05 02:20:33,71.2906,-156.7887,41.02,87,100,6.91
8,Ketchikan,US,2022-07-05 02:20:33,55.3422,-131.6461,64.87,72,0,14.97
9,Rikitea,PF,2022-07-05 02:20:33,-23.1203,-134.9692,75.13,73,5,8.05
10,Kapaa,US,2022-07-05 02:20:34,22.0752,-159.319,82.38,75,100,17.27
11,Albany,US,2022-07-05 02:20:34,42.6001,-73.9662,68.05,68,78,3.51
12,Egvekinot,RU,2022-07-05 02:20:34,66.3167,-179.1667,47.05,74,95,5.84
13,San Cristobal,VE,2022-07-05 02:20:34,7.7669,-72.225,69.98,94,72,2.55
14,Hobart,AU,2022-07-05 02:15:44,-42.8794,147.3294,57.25,71,20,11.5
15,Chokurdakh,RU,2022-07-05 02:20:35,70.6333,147.9167,70.59,52,99,18.01
16,Aklavik,CA,2022-07-05 02:20:35,68.2191,-135.0107,87.1,30,6,3.27
17,Vestmanna,FO,2022-07-05 02:20:35,62.1564,-7.1664,45.52,87,100,8.05
18,Talcahuano,CL,2022-07-05 02:20:15,-36.7167,-73.1167,49.68,87,0,6.91
19,Saint-Philippe,RE,2022-07-05 02:20:36,-21.3585,55.7679,64.22,77,57,11.72
20,Busselton,AU,2022-07-05 02:20:36,-33.65,115.3333,56.39,81,100,10.29
