City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Daru,PG,79.38,broken clouds,-9.0763,143.2092,Daru Lodge
5,Sao Francisco De Assis,BR,70.84,scattered clouds,-29.5503,-55.1311,Hotel Aguiar
7,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
8,Kaeo,NZ,65.32,overcast clouds,-35.1,173.7833,Bushido Lodge
11,Port Blair,IN,80.64,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
12,Devils Lake,US,80.58,scattered clouds,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
14,Lompoc,US,70.84,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
16,Chambersburg,US,68.77,overcast clouds,39.9376,-77.6611,"Holiday Inn Express & Suites Chambersburg, an IHG Hotel"
18,Hamilton,US,76.05,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
21,Nabire,ID,83.37,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
25,Rikitea,PF,73.65,light rain,-23.1203,-134.9692,People ThankYou
27,Quatre Cocos,MU,68.11,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
34,Nome,US,72.16,clear sky,64.5011,-165.4064,Dredge 7 Inn
35,Fortuna,US,65.35,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
37,Thompson,CA,66.36,overcast clouds,55.7435,-97.8558,Burntwood Hotel
40,Itarema,BR,77.5,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
41,Oussouye,SN,78.98,overcast clouds,12.485,-16.5469,Auberge du Routard
43,Butaritari,KI,82.02,light rain,3.0707,172.7902,Isles Sunset Lodge
50,Port Keats,AU,79.45,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
53,Great Bend,US,84.33,clear sky,38.3645,-98.7648,Best Western Angus Inn
54,Vila Franca Do Campo,PT,68.2,few clouds,37.7167,-25.4333,Pestana Bahia Praia
56,Waingapu,ID,83.12,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
58,Arauca,CO,72.1,overcast clouds,7.0847,-70.7591,Hotel Verano Plaza
59,Abu Samrah,SY,70.63,clear sky,35.3029,37.1841,
63,Doctor Arroyo,MX,71.78,scattered clouds,23.6667,-100.1833,Hotel Plaza
64,Acoyapa,NI,76.59,overcast clouds,11.9703,-85.1711,Hotel y Restaurante Los Robles
65,Sao Joao Da Barra,BR,71.31,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
66,Prince Albert,CA,75.15,few clouds,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
67,Courtenay,CA,69.03,broken clouds,49.6866,-124.9936,Bayview Hotel
70,Atuona,PF,77.85,few clouds,-9.8,-139.0333,Villa Enata
74,Shingu,JP,82.36,broken clouds,33.7333,135.9833,Shingu UI Hotel
75,Ponta Do Sol,PT,73.13,clear sky,32.6667,-17.1,Hotel do Campo
76,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
77,Bethel,US,72.64,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
78,Braganca,BR,71.26,overcast clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
80,Chokurdakh,RU,65.26,clear sky,70.6333,147.9167,
81,Sete,FR,76.86,clear sky,43.4018,3.6966,Hotel De Paris Sète
82,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
83,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
85,Arraial Do Cabo,BR,70.29,clear sky,-22.9661,-42.0278,Pousada Porto Praia
86,Aloleng,PH,84.9,scattered clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
92,Vanimo,PG,83.53,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
93,Bandar-E Anzali,IR,68.11,clear sky,37.4727,49.4622,هتل بیاچ
94,Sao Joao De Pirabas,BR,74.17,overcast clouds,-0.7747,-47.1772,POUSADA SOL E MAR
95,Raigarh,IN,83.8,broken clouds,21.9,83.4,Hotel Shivam
96,Marsh Harbour,BS,82.92,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
100,Touros,BR,74.97,few clouds,-5.1989,-35.4608,INN NEW HORIZON
102,Avera,US,77.05,overcast clouds,33.194,-82.5271,
103,Hithadhoo,MV,82.24,overcast clouds,-0.6,73.0833,Scoop Guest House
104,Saint-Philippe,RE,65.79,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
105,Isabela,PH,82.45,overcast clouds,6.7085,121.9711,Isawad Resort
108,Carnarvon,AU,66.52,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
109,Maragogi,BR,74.5,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
110,Tigil,RU,78.46,clear sky,57.8,158.6667,Tigil'
111,Aklavik,CA,65.91,few clouds,68.2191,-135.0107,Aklavik Inn
114,Mahibadhoo,MV,81.88,overcast clouds,3.7833,72.9667,Omadhoo Inn
115,Dingle,PH,84.4,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
116,Guerrero Negro,MX,68.13,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
118,Blitar,ID,81.9,scattered clouds,-8.0983,112.1681,Hotel Tugu Sri Lestari Blitar
119,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
120,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
124,Hecun,CN,75.94,moderate rain,36.5333,114.1111,Yijia Hotel
125,The Pas,CA,68.02,broken clouds,53.8251,-101.2541,Wescana Inn
127,Tiarei,PF,82.42,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
129,Ajdabiya,LY,76.28,clear sky,30.7554,20.2263,Almadina Hotel
130,Vung Tau,VN,78.76,overcast clouds,10.346,107.0843,Seaside Resort
131,Calvia,ES,75.92,clear sky,39.5657,2.5062,Castell Son Claret
133,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
135,Bichura,RU,70.72,broken clouds,50.5881,107.6022,Gostinitsa Uyut
136,Olinda,BR,78.53,overcast clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
141,Yellowknife,CA,72.12,smoke,62.456,-114.3525,The Explorer Hotel
142,Grand Gaube,MU,68.4,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
144,Grand-Santi,GF,71.73,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
147,Kolyvan,RU,71.22,few clouds,55.3053,82.7391,
148,Puerto Ayora,EC,71.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
149,Marsa Matruh,EG,77.2,scattered clouds,31.3525,27.2453,Beau Site
