City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2022-06-28 06:02:47,19.7297,-155.09,74.93,81,40,3.0
1,Ola,RU,2022-06-28 06:02:47,59.5833,151.2833,68.14,82,86,8.57
2,Rikitea,PF,2022-06-28 06:02:10,-23.1203,-134.9692,73.38,71,14,8.9
3,Rethimnon,GR,2022-06-28 06:02:48,35.3647,24.4714,82.2,64,0,11.59
4,Ushuaia,AR,2022-06-28 06:01:44,-54.8,-68.3,35.56,89,99,8.28
5,Las Vegas,US,2022-06-28 06:02:27,36.175,-115.1372,95.68,18,0,5.75
6,Saskylakh,RU,2022-06-28 06:02:48,71.9167,114.0833,48.92,46,97,5.32
7,Bom Jesus Da Lapa,BR,2022-06-28 06:01:35,-13.255,-43.4181,62.42,68,0,5.79
8,Sayyan,YE,2022-06-28 06:02:49,15.1718,44.3244,75.94,18,54,10.56
9,Lorengau,PG,2022-06-28 06:02:49,-2.0226,147.2712,84.94,67,57,8.93
10,Vaini,TO,2022-06-28 06:02:49,-21.2,-175.2,75.63,80,19,16.64
11,Barrow,US,2022-06-28 06:02:50,71.2906,-156.7887,44.62,93,100,10.36
12,Mamakan,RU,2022-06-28 06:02:50,57.8161,114.0028,84.51,48,76,7.49
13,Tiksi,RU,2022-06-28 06:02:50,71.6872,128.8694,37.08,81,98,3.06
14,Faanui,PF,2022-06-28 06:02:51,-16.4833,-151.75,80.47,67,0,20.54
15,Ust-Uda,RU,2022-06-28 06:02:51,54.1742,103.0304,89.31,33,19,9.53
16,Kozlovo,RU,2022-06-28 06:02:51,56.5167,36.2667,71.17,55,8,9.13
17,Iqaluit,CA,2022-06-28 06:02:52,63.7506,-68.5145,40.69,80,100,4.0
18,Shenjiamen,CN,2022-06-28 06:02:52,29.9576,122.298,77.45,91,100,22.91
19,North Platte,US,2022-06-28 06:02:52,41.1239,-100.7654,63.12,61,0,11.99
20,Aviles,ES,2022-06-28 06:02:53,43.5547,-5.9248,58.37,86,0,5.75
21,Busselton,AU,2022-06-28 06:01:55,-33.65,115.3333,61.39,52,70,7.2
22,Kavieng,PG,2022-06-28 06:02:53,-2.5744,150.7967,85.06,65,90,11.61
23,Upernavik,GL,2022-06-28 06:02:53,72.7868,-56.1549,36.46,85,28,3.18
24,Jiayuguan,CN,2022-06-28 06:02:53,39.8167,98.3,90.72,10,18,9.22
25,Sitka,US,2022-06-28 05:58:59,57.0531,-135.33,56.97,93,7,4.32
26,Santa Rosa,PH,2022-06-28 05:59:55,14.3122,121.1114,90.1,76,100,6.67
27,Cape Town,ZA,2022-06-28 05:58:44,-33.9258,18.4232,62.91,51,0,10.36
28,Yangambi,CD,2022-06-28 05:59:13,0.8102,24.4336,73.65,88,98,1.74
29,Mataura,NZ,2022-06-28 06:02:54,-46.1927,168.8643,39.47,93,40,2.08
30,New Norfolk,AU,2022-06-28 06:02:54,-42.7826,147.0587,57.92,79,100,3.0
31,Port Alfred,ZA,2022-06-28 06:02:55,-33.5906,26.891,59.0,48,0,8.7
32,Ilulissat,GL,2022-06-28 06:02:55,69.2167,-51.1,42.82,75,4,2.3
33,Esperance,AU,2022-06-28 06:02:55,-33.8667,121.9,59.47,63,69,16.75
34,Antalaha,MG,2022-06-28 06:02:56,-14.9003,50.2788,71.8,80,86,17.81
35,Port Elizabeth,ZA,2022-06-28 06:02:56,-33.918,25.5701,55.31,68,0,5.75
36,Punta Arenas,CL,2022-06-28 06:00:08,-53.15,-70.9167,39.27,76,100,3.89
37,Victoria,HK,2022-06-28 06:00:10,22.2855,114.1577,93.25,65,97,5.99
38,Te Anau,NZ,2022-06-28 06:02:56,-45.4167,167.7167,35.8,92,12,1.28
39,Norman Wells,CA,2022-06-28 06:02:57,65.282,-126.8329,66.06,51,97,5.55
40,Pevek,RU,2022-06-28 05:58:31,69.7008,170.3133,43.21,62,99,6.35
41,Torbay,CA,2022-06-28 05:59:49,47.6666,-52.7314,61.88,91,75,16.11
42,Severo-Kurilsk,RU,2022-06-28 06:02:57,50.6789,156.125,46.27,96,100,13.65
43,Lahaina,US,2022-06-28 06:02:17,20.8783,-156.6825,76.8,85,99,9.78
44,Ostrovnoy,RU,2022-06-28 06:03:58,68.0531,39.5131,45.39,71,4,3.4
45,Safford,US,2022-06-28 06:03:58,32.834,-109.7076,78.12,94,100,11.5
46,Longyearbyen,SJ,2022-06-28 06:03:58,78.2186,15.6401,44.44,81,0,1.14
