City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ahipara,NZ,-35.1667,173.1667,62.62,74,100,4.21,overcast clouds
1,Qui Nhon,VN,13.7667,109.2333,86.32,66,99,8.08,moderate rain
2,Busselton,AU,-33.65,115.3333,57.69,60,95,13.53,overcast clouds
3,Daru,PG,-9.0763,143.2092,79.38,87,68,15.21,broken clouds
4,Hermanus,ZA,-34.4187,19.2345,54.19,80,46,4.63,scattered clouds
5,Sao Francisco De Assis,BR,-29.5503,-55.1311,70.84,66,43,16.04,scattered clouds
6,Kodiak,US,57.79,-152.4072,54.91,76,100,11.5,overcast clouds
7,Neiafu,TO,-18.65,-173.9833,81.28,74,40,13.8,scattered clouds
8,Kaeo,NZ,-35.1,173.7833,65.32,86,100,3.83,overcast clouds
9,Hobart,AU,-42.8794,147.3294,53.46,71,75,10.36,broken clouds
10,Changde,CN,29.0464,111.6783,90.82,66,94,11.27,overcast clouds
11,Port Blair,IN,11.6667,92.75,80.64,89,100,4.61,drizzle
12,Devils Lake,US,48.1128,-98.8651,80.58,76,40,6.91,scattered clouds
13,Lebu,CL,-37.6167,-73.65,48.15,84,35,10.65,scattered clouds
14,Lompoc,US,34.6391,-120.4579,70.84,82,75,18.99,mist
15,Bluff,NZ,-46.6,168.3333,47.8,67,27,2.44,scattered clouds
16,Chambersburg,US,39.9376,-77.6611,68.77,78,92,1.01,overcast clouds
17,Saint-Joseph,RE,-21.3667,55.6167,64.78,70,47,15.01,scattered clouds
18,Hamilton,US,39.1834,-84.5333,76.05,78,20,12.66,few clouds
19,Port Elizabeth,ZA,-33.918,25.5701,61.32,80,0,17.27,clear sky
20,East London,ZA,-33.0153,27.9116,64.81,74,0,16.69,clear sky
21,Nabire,ID,-3.3667,135.4833,83.37,74,98,3.53,overcast clouds
22,Ushuaia,AR,-54.8,-68.3,29.86,80,40,13.8,scattered clouds
23,Margate,GB,51.3813,1.3862,57.69,90,0,2.37,clear sky
24,Victoria,HK,22.2855,114.1577,91.45,84,50,7.0,scattered clouds
25,Rikitea,PF,-23.1203,-134.9692,73.65,77,15,8.14,light rain
26,Muros,ES,42.7762,-9.0603,64.09,87,66,2.46,broken clouds
27,Quatre Cocos,MU,-20.2078,57.7625,68.11,65,71,21.97,broken clouds
28,Chuy,UY,-33.6971,-53.4616,61.86,91,92,13.15,overcast clouds
29,Pisco,PE,-13.7,-76.2167,60.85,88,20,6.91,mist
30,Hit,IQ,33.6416,42.8251,86.45,32,0,18.25,clear sky
31,Nelson Bay,AU,-32.7167,152.15,59.0,100,96,10.0,moderate rain
32,Mosquera,CO,4.7059,-74.2302,53.69,82,40,4.61,scattered clouds
33,Mataura,NZ,-46.1927,168.8643,47.48,65,19,2.06,few clouds
34,Nome,US,64.5011,-165.4064,72.16,62,0,17.27,clear sky
35,Fortuna,US,40.5982,-124.1573,65.35,80,100,5.01,overcast clouds
36,Antofagasta,CL,-23.65,-70.4,58.28,82,100,3.67,overcast clouds
37,Thompson,CA,55.7435,-97.8558,66.36,82,100,21.85,overcast clouds
38,Umm Bab,QA,25.2142,50.8072,90.19,46,100,8.19,overcast clouds
39,Jamestown,US,42.097,-79.2353,64.04,55,0,6.91,clear sky
40,Itarema,BR,-2.9248,-39.9167,77.5,79,90,12.82,overcast clouds
41,Oussouye,SN,12.485,-16.5469,78.98,85,100,7.16,overcast clouds
42,Punta Arenas,CL,-53.15,-70.9167,24.91,80,20,6.91,few clouds
43,Butaritari,KI,3.0707,172.7902,82.02,78,25,12.71,light rain
44,Nanortalik,GL,60.1432,-45.2371,41.13,94,64,8.32,broken clouds
45,Nikolskoye,RU,59.7035,30.7861,62.87,90,88,2.24,overcast clouds
46,Egvekinot,RU,66.3167,-179.1667,41.43,98,100,6.42,light rain
47,Cradock,ZA,-32.1642,25.6192,50.83,62,1,5.59,clear sky
48,Hay River,CA,60.8156,-115.7999,60.78,88,75,4.61,moderate rain
49,Sumbawanga,TZ,-7.9667,31.6167,47.34,82,0,3.15,clear sky
50,Port Keats,AU,-14.25,129.55,79.45,29,7,7.63,clear sky
51,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,100,100,8.05,fog
52,Grindavik,IS,63.8424,-22.4338,50.9,100,100,18.41,mist
53,Great Bend,US,38.3645,-98.7648,84.33,60,0,6.91,clear sky
54,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,85,18,6.06,few clouds
55,Longyearbyen,SJ,78.2186,15.6401,42.64,75,75,14.97,broken clouds
56,Waingapu,ID,-9.6567,120.2641,83.12,68,99,16.75,overcast clouds
57,Parkes,AU,-33.1333,148.1833,54.36,64,41,1.99,scattered clouds
58,Arauca,CO,7.0847,-70.7591,72.1,97,100,3.65,overcast clouds
59,Abu Samrah,SY,35.3029,37.1841,70.63,74,0,13.4,clear sky
60,Albany,US,42.6001,-73.9662,64.81,76,2,5.37,clear sky
61,Yantal,RU,56.8471,105.2542,63.68,64,93,5.97,overcast clouds
62,Stockholm,SE,59.3326,18.0649,59.67,81,100,3.44,overcast clouds
63,Doctor Arroyo,MX,23.6667,-100.1833,71.78,54,39,4.27,scattered clouds
64,Acoyapa,NI,11.9703,-85.1711,76.59,87,100,11.65,overcast clouds
65,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.31,84,15,15.14,few clouds
66,Prince Albert,CA,53.2001,-105.7677,75.15,57,20,6.91,few clouds
67,Courtenay,CA,49.6866,-124.9936,69.03,77,75,4.61,broken clouds
68,Bredasdorp,ZA,-34.5322,20.0403,49.23,84,0,3.56,clear sky
69,Tuatapere,NZ,-46.1333,167.6833,45.25,62,7,4.0,clear sky
70,Atuona,PF,-9.8,-139.0333,77.85,76,11,17.27,few clouds
71,Cape Town,ZA,-33.9258,18.4232,57.38,88,75,9.22,moderate rain
72,Yumen,CN,40.2833,97.2,85.98,20,90,7.94,overcast clouds
73,Klaksvik,FO,62.2266,-6.589,52.72,97,99,6.35,light rain
74,Shingu,JP,33.7333,135.9833,82.36,73,63,5.84,broken clouds
75,Ponta Do Sol,PT,32.6667,-17.1,73.13,46,2,3.47,clear sky
76,Noumea,NC,-22.2763,166.4572,84.18,99,89,1.03,overcast clouds
77,Bethel,US,41.3712,-73.414,72.64,60,0,3.44,clear sky
78,Braganca,BR,-1.0536,-46.7656,71.26,98,87,1.66,overcast clouds
79,Deer Lake,CA,49.1667,-57.4316,51.66,82,40,6.91,scattered clouds
80,Chokurdakh,RU,70.6333,147.9167,65.26,33,7,10.09,clear sky
81,Sete,FR,43.4018,3.6966,76.86,49,0,8.48,clear sky
82,Vaini,TO,-21.2,-175.2,77.16,73,20,12.66,few clouds
83,San Cristobal,VE,7.7669,-72.225,75.38,98,100,4.12,overcast clouds
84,Narsaq,GL,60.9167,-46.05,46.62,92,37,0.74,scattered clouds
85,Arraial Do Cabo,BR,-22.9661,-42.0278,70.29,88,1,20.51,clear sky
86,Aloleng,PH,16.1307,119.7824,84.9,73,29,3.74,scattered clouds
87,Georgetown,MY,5.4112,100.3354,85.95,81,20,3.44,few clouds
88,Lubaczow,PL,50.157,23.1234,54.52,94,97,6.02,overcast clouds
89,Behbahan,IR,30.5959,50.2417,92.28,16,4,1.45,clear sky
90,Tiksi,RU,71.6872,128.8694,57.94,49,87,7.14,overcast clouds
91,Ostrovskoye,RU,57.8057,42.2433,63.97,91,95,4.83,overcast clouds
92,Vanimo,PG,-2.6741,141.3028,83.53,71,99,5.95,light rain
93,Bandar-E Anzali,IR,37.4727,49.4622,68.11,51,0,3.0,clear sky
94,Sao Joao De Pirabas,BR,-0.7747,-47.1772,74.17,91,100,4.09,overcast clouds
95,Raigarh,IN,21.9,83.4,83.8,72,56,9.53,broken clouds
96,Marsh Harbour,BS,26.5412,-77.0636,82.92,75,37,9.73,scattered clouds
97,Torbay,CA,47.6666,-52.7314,56.26,86,75,6.91,broken clouds
98,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,90.19,49,75,11.18,broken clouds
99,Raudeberg,NO,61.9875,5.1352,47.07,81,100,7.76,overcast clouds
100,Touros,BR,-5.1989,-35.4608,74.97,87,19,10.13,few clouds
101,Port Alfred,ZA,-33.5906,26.891,60.19,79,3,5.01,clear sky
102,Avera,US,33.194,-82.5271,77.05,81,89,6.91,overcast clouds
103,Hithadhoo,MV,-0.6,73.0833,82.24,78,89,6.53,overcast clouds
104,Saint-Philippe,RE,-21.3585,55.7679,65.79,70,75,13.69,broken clouds
105,Isabela,PH,6.7085,121.9711,82.45,63,95,3.89,overcast clouds
106,Necochea,AR,-38.5473,-58.7368,53.51,95,100,5.55,overcast clouds
107,Chililabombwe,ZM,-12.3648,27.8229,49.86,78,35,4.79,scattered clouds
108,Carnarvon,AU,-24.8667,113.6333,66.52,78,100,18.41,overcast clouds
109,Maragogi,BR,-9.0122,-35.2225,74.5,83,6,14.34,clear sky
110,Tigil,RU,57.8,158.6667,78.46,57,2,6.02,clear sky
111,Aklavik,CA,68.2191,-135.0107,65.91,52,17,16.49,few clouds
112,Ostrovnoy,RU,68.0531,39.5131,49.59,84,76,4.83,broken clouds
113,Te Anau,NZ,-45.4167,167.7167,42.22,69,44,2.95,scattered clouds
114,Mahibadhoo,MV,3.7833,72.9667,81.88,76,100,12.21,overcast clouds
115,Dingle,PH,10.9995,122.6711,84.4,76,79,12.75,broken clouds
116,Guerrero Negro,MX,27.9769,-114.0611,68.13,82,29,16.89,scattered clouds
117,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,87,100,17.27,light rain
118,Blitar,ID,-8.0983,112.1681,81.9,66,36,7.76,scattered clouds
119,Avarua,CK,-21.2078,-159.775,77.05,57,40,12.66,scattered clouds
120,Puerto Escondido,MX,15.85,-97.0667,83.23,61,75,0.0,broken clouds
121,Port Lincoln,AU,-34.7333,135.8667,56.14,58,100,18.16,overcast clouds
122,Castro,BR,-24.7911,-50.0119,53.83,84,67,3.74,broken clouds
123,Kaitangata,NZ,-46.2817,169.8464,45.34,65,11,3.18,few clouds
124,Hecun,CN,36.5333,114.1111,75.94,73,100,14.81,moderate rain
125,The Pas,CA,53.8251,-101.2541,68.02,77,75,21.85,broken clouds
126,Dolores,AR,-36.3132,-57.6792,59.18,97,77,8.25,light rain
127,Tiarei,PF,-17.5333,-149.3333,82.42,72,34,21.05,scattered clouds
128,Provideniya,RU,64.3833,-173.3,49.53,89,100,12.06,overcast clouds
129,Ajdabiya,LY,30.7554,20.2263,76.28,72,0,12.57,clear sky
130,Vung Tau,VN,10.346,107.0843,78.76,82,100,17.38,overcast clouds
131,Calvia,ES,39.5657,2.5062,75.92,56,0,5.97,clear sky
132,Saskylakh,RU,71.9167,114.0833,54.39,62,99,6.13,overcast clouds
133,Kapaa,US,22.0752,-159.319,84.52,72,40,14.97,scattered clouds
